9.35	0.038
9.38	0.038
9.41	0.038
9.44	0.038
9.47	0.038
9.5	0.038
9.53	0.038
9.56	0.038
9.59	0.038
9.62	0.038
9.65	0.038
9.68	0.038
9.71	0.038
9.74	0.038
9.77	0.038
9.8	0.038
9.83	0.038
9.86	0.038
9.89	0.038
9.92	0.038
9.95	0.038
9.98	0.038
10.01	0.038
10.04	0.038
10.07	0.038
10.1	0.038
10.13	0.038
10.16	0.038
10.19	0.038
10.22	0.038
10.25	0.038
10.28	0.038
10.31	0.038
10.34	0.038
10.37	0.038
10.4	0.038
10.43	0.038
10.46	0.038
10.49	0.038
10.52	0.038
10.55	0.038
10.58	0.038
10.61	0.038
10.64	0.038
10.67	0.038
10.7	0.038
10.73	0.038
10.76	0.038
10.79	0.038
10.82	0.038
10.85	0.038
10.88	0.038
10.91	0.038
10.94	0.038
10.97	0.038
11	0.038
11.03	0.038
11.06	0.038
11.09	0.038
11.12	0.038
11.15	0.038
11.18	0.038
11.21	0.038
11.24	0.038
11.27	0.038
11.3	0.045
11.33	0.107
11.36	0.282
11.39	0.589
11.42	1.029
11.45	1.604
11.48	2.314
11.51	3.161
11.54	4.145
11.57	5.267
11.6	6.526
11.63	7.925
11.66	9.462
11.69	11.139
11.72	12.955
11.75	14.912
11.78	17.009
11.81	19.246
11.84	21.624
11.87	24.144
11.9	26.805
11.93	29.608
11.96	32.552
11.99	35.639
12.02	38.867
12.05	42.238
12.08	45.752
12.11	49.409
12.14	53.208
12.17	57.151
12.2	61.236
12.23	65.466
12.26	69.838
12.29	74.355
12.32	79.015
12.35	83.819
12.38	88.768
12.41	93.86
12.44	99.097
12.47	104.478
12.5	110.004
12.53	115.675
12.56	121.49
12.59	127.45
12.62	133.556
12.65	139.806
12.68	146.202
12.71	152.742
12.74	159.429
12.77	166.26
12.8	173.238
12.83	180.361
12.86	187.63
12.89	195.044
12.92	202.605
12.95	210.311
12.98	218.164
13.01	226.163
13.04	234.308
13.07	242.6
13.1	251.037
13.13	259.622
13.16	268.353
13.19	277.231
13.22	286.255
13.25	295.426
13.28	304.744
13.31	314.209
13.34	323.821
13.37	333.58
13.4	343.486
13.43	353.539
13.46	363.74
13.49	374.088
13.52	384.583
13.55	395.226
13.58	406.016
13.61	416.954
13.64	428.039
13.67	439.272
13.7	450.653
13.73	462.181
13.76	473.858
13.79	485.682
13.82	497.655
13.85	509.775
13.88	522.043
13.91	534.46
13.94	547.025
13.97	559.738
14	572.599
14.03	585.609
14.06	598.766
14.09	612.073
14.12	625.528
14.15	639.131
14.18	652.883
14.21	666.784
14.24	680.833
14.27	695.031
14.3	709.378
14.33	723.874
14.36	738.518
14.39	753.311
14.42	768.254
14.45	783.345
14.48	798.585
14.51	813.975
14.54	829.514
14.57	845.201
14.6	861.038
14.63	877.024
14.66	893.16
14.69	909.445
14.72	925.879
14.75	942.463
14.78	959.196
14.81	976.078
14.84	993.11
14.87	1010
14.9	1028
14.93	1045
14.96	1063
14.99	1081
15.02	1098
15.05	1117
15.08	1135
15.11	1153
15.14	1172
15.17	1190
15.2	1209
15.23	1228
15.26	1247
15.29	1267
15.32	1286
15.35	1306
15.38	1325
15.41	1345
15.44	1365
15.47	1385
15.5	1406
